"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";NA
"d-523483";"Z_1";"2";"sum";"TRUE";"2";"5";"0.5";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"h-543608";"Z_2";"100";"sum";"FALSE";"100";"5";"5";"log";"200";"alle Fälle NA"
"w-922518";"Z_2";"3";"product";"FALSE";"3";"0";"0.5";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"u-297046";"Z_2";"20";"product";"TRUE";"20";"10";"0.1";"softplus";"200";"alle Fälle NA"
"w-229495";"Z_3";"20";"sum";"FALSE";"20";"0";"1";"square";"200";"alle Fälle NA"
"q-670303";"Z_1";"20";"sum";"FALSE";"20";"1";"10";"cubic";"200";"nicht passende Argumente"
"e-173260";"Z_5";"3";"sum";"FALSE";"3";"1";"0.1";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"x-830683";"Z_5";"3";"sum";"FALSE";"3";"10";"10";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"m-977308";"Z_5";"20";"product";"FALSE";"20";"0.2";"10";"softplus";"5000";"benötige mindestens zwei nicht-NA Werte zur Interpolation"
"h-106066";"Z_3";"10";"sum";"TRUE";"10";"5";"0.5";"softplus";"5000";"alle Fälle NA"
"s-867468";"Z_2";"5";"sum";"TRUE";"5";"5";"10";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"u-449762";"Z_3";"2";"product";"FALSE";"2";"10";"0.5";"square";"5000";"alle Fälle NA"
"t-741041";"Z_2";"3";"sum";"FALSE";"3";"0.2";"0";"softplus";"5000";"alle Fälle NA"
"h-457579";"Z_6";"5";"sum";"FALSE";"5";"1";"0";"square";"5000";"alle Fälle NA"
"k-115589";"Z_4";"5";"sum";"FALSE";"5";"10";"2";"square";"5000";"alle Fälle NA"
"t-450658";"Z_3";"20";"sum";"FALSE";"20";"2";"2";"cubic";"5000";"alle Fälle NA"
"x-638561";"Z_5";"2";"sum";"TRUE";"2";"2";"1";"square";"5000";"benötige mindestens zwei nicht-NA Werte zur Interpolation"
"s-632463";"Z_2";"2";"product";"TRUE";"2";"0.1";"10";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"q-998355";"Z_4";"5";"product";"FALSE";"5";"5";"2";"square";"5000";"alle Fälle NA"
"k-536654";"Z_6";"2";"product";"TRUE";"2";"0.5";"5";"square";"5000";"alle Fälle NA"
"c-914026";"Z_3";"10";"sum";"FALSE";"10";"2";"10";"softplus";"2000";"alle Fälle NA"
"q-178131";"Z_6";"3";"sum";"TRUE";"3";"2";"0.2";"square";"2000";"alle Fälle NA"
"k-146992";"Z_2";"100";"product";"FALSE";"100";"10";"1";"log";"2000";"alle Fälle NA"
"a-395847";"Z_6";"5";"sum";"TRUE";"5";"0";"0.2";"cubic";"2000";"alle Fälle NA"
"q-230204";"Z_4";"50";"sum";"TRUE";"50";"2";"5";"cubic";"2000";"alle Fälle NA"
"k-122718";"Z_5";"20";"product";"TRUE";"20";"10";"1";"softplus";"2000";"benötige mindestens zwei nicht-NA Werte zur Interpolation"
"k-366913";"Z_2";"50";"sum";"FALSE";"50";"1";"5";"cubic";"2000";"benötige mindestens zwei nicht-NA Werte zur Interpolation"
"a-606638";"Z_6";"10";"sum";"FALSE";"10";"5";"0";"square";"2000";"alle Fälle NA"
"z-431833";"Z_1";"10";"product";"FALSE";"10";"0.2";"0.2";"cubic";"2000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"g-441412";"Z_2";"100";"product";"TRUE";"100";"2";"2";"square";"2000";"alle Fälle NA"
"h-596013";"Z_3";"10";"product";"FALSE";"10";"0.1";"0";"softplus";"2000";"alle Fälle NA"
"y-870963";"Z_4";"10";"sum";"FALSE";"10";"10";"1";"log";"2000";"alle Fälle NA"
"z-312064";"Z_6";"2";"product";"TRUE";"2";"0";"0.5";"softplus";"2000";"alle Fälle NA"
"y-932557";"Z_4";"10";"product";"FALSE";"10";"10";"0.2";"square";"2000";"alle Fälle NA"
"m-197810";"Z_4";"5";"product";"TRUE";"5";"5";"5";"square";"500";"alle Fälle NA"
"i-572813";"Z_1";"3";"product";"FALSE";"3";"0";"5";"cubic";"500";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"p-720983";"Z_2";"5";"sum";"TRUE";"5";"1";"0";"softplus";"500";"benötige mindestens zwei nicht-NA Werte zur Interpolation"
"k-576536";"Z_5";"3";"sum";"FALSE";"3";"10";"10";"cubic";"500";"benötige mindestens zwei nicht-NA Werte zur Interpolation"
"b-577871";"Z_2";"10";"product";"FALSE";"10";"0.2";"0.1";"cubic";"500";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"k-614948";"Z_3";"20";"product";"FALSE";"20";"10";"1";"cubic";"500";"alle Fälle NA"
"i-985431";"Z_3";"20";"product";"TRUE";"20";"2";"0.2";"softplus";"500";"alle Fälle NA"
"h-137856";"Z_4";"3";"sum";"TRUE";"3";"10";"5";"square";"500";"alle Fälle NA"
"v-679967";"Z_2";"3";"product";"FALSE";"3";"0.5";"0.2";"square";"500";"alle Fälle NA"
"c-705887";"Z_6";"20";"product";"FALSE";"20";"0.5";"0";"cubic";"500";"alle Fälle NA"
"f-388504";"Z_4";"10";"sum";"FALSE";"10";"10";"10";"square";"500";"alle Fälle NA"
"h-259611";"Z_2";"50";"product";"TRUE";"50";"2";"10";"softplus";"500";"alle Fälle NA"
"u-926081";"Z_3";"50";"product";"TRUE";"50";"0.1";"2";"softplus";"500";"alle Fälle NA"
