"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";NA
"t-949999";"Z_5";"20";"sum";"TRUE";"20";"1";"0";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"c-761646";"Z_3";"3";"sum";"TRUE";"3";"0.1";"10";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"v-961666";"Z_3";"50";"sum";"TRUE";"50";"1";"5";"square";"200";"alle Fälle NA"
"m-487438";"Z_3";"5";"product";"TRUE";"5";"0.5";"10";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"t-405270";"Z_3";"3";"product";"FALSE";"3";"5";"0";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"b-188259";"Z_1";"100";"product";"FALSE";"100";"0.1";"0";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"q-441960";"Z_3";"5";"sum";"FALSE";"5";"0.1";"10";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"e-784492";"Z_3";"20";"sum";"TRUE";"20";"0.2";"0";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"n-629016";"Z_1";"5";"sum";"TRUE";"5";"0.1";"5";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"f-761069";"Z_4";"10";"product";"FALSE";"10";"10";"0.1";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"z-388070";"Z_6";"20";"product";"FALSE";"20";"0.5";"10";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"s-946229";"Z_4";"5";"product";"FALSE";"5";"0.1";"10";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"a-447668";"Z_6";"5";"sum";"FALSE";"5";"1";"0.1";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"y-250723";"Z_5";"10";"product";"TRUE";"10";"5";"0.2";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"z-798468";"Z_5";"5";"sum";"FALSE";"5";"1";"10";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"b-424756";"Z_5";"50";"sum";"TRUE";"50";"0.1";"0.1";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"a-789974";"Z_4";"3";"product";"TRUE";"3";"10";"0";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"n-441112";"Z_3";"10";"sum";"FALSE";"10";"0.1";"0";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"i-799675";"Z_2";"20";"product";"FALSE";"20";"5";"0.2";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"m-586909";"Z_2";"100";"sum";"FALSE";"100";"1";"2";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"o-271790";"Z_4";"2";"product";"TRUE";"2";"10";"1";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"i-254955";"Z_3";"3";"product";"TRUE";"3";"0.5";"0.2";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"t-439326";"Z_5";"100";"product";"FALSE";"100";"10";"10";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"q-132047";"Z_2";"5";"product";"FALSE";"5";"10";"10";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"r-267194";"Z_5";"2";"sum";"TRUE";"2";"1";"1";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"s-395173";"Z_3";"2";"sum";"TRUE";"2";"0.2";"2";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"m-391060";"Z_4";"2";"sum";"TRUE";"2";"10";"10";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"i-860453";"Z_3";"100";"sum";"TRUE";"100";"0";"10";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"o-171179";"Z_3";"100";"product";"TRUE";"100";"5";"0";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"u-383667";"Z_5";"5";"sum";"TRUE";"5";"10";"0.1";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"t-697263";"Z_2";"20";"product";"TRUE";"20";"10";"2";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"e-381296";"Z_1";"3";"sum";"TRUE";"3";"10";"1";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"v-224966";"Z_1";"50";"sum";"FALSE";"50";"1";"2";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"p-984821";"Z_6";"20";"product";"TRUE";"20";"0.5";"10";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"s-269023";"Z_4";"10";"product";"FALSE";"10";"10";"1";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"q-801331";"Z_3";"50";"product";"FALSE";"50";"0.5";"0.1";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"o-776698";"Z_4";"10";"sum";"FALSE";"10";"0.1";"0";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"q-668283";"Z_2";"20";"product";"FALSE";"20";"0.2";"0";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"v-775201";"Z_2";"20";"product";"TRUE";"20";"1";"0.5";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"z-549085";"Z_2";"3";"sum";"FALSE";"3";"0.1";"0";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"b-258632";"Z_4";"2";"sum";"FALSE";"2";"0.5";"0.1";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"j-834058";"Z_5";"5";"sum";"TRUE";"5";"2";"0";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"n-842636";"Z_3";"2";"product";"FALSE";"2";"0.5";"0.1";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"w-361588";"Z_4";"3";"product";"TRUE";"3";"5";"0.1";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"q-666114";"Z_1";"100";"product";"TRUE";"100";"2";"0.1";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"q-350069";"Z_3";"2";"sum";"TRUE";"2";"2";"0.5";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"n-838508";"Z_2";"10";"product";"FALSE";"10";"0.5";"0.1";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"e-233219";"Z_6";"100";"sum";"FALSE";"100";"0.1";"1";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"l-172926";"Z_3";"10";"product";"FALSE";"10";"2";"2";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"u-804956";"Z_5";"100";"product";"FALSE";"100";"5";"0.5";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"h-160344";"Z_5";"50";"product";"TRUE";"50";"5";"0.2";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"y-425578";"Z_6";"2";"sum";"TRUE";"2";"0.2";"5";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"w-868686";"Z_1";"10";"product";"TRUE";"10";"1";"2";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"v-428146";"Z_5";"100";"sum";"TRUE";"100";"5";"10";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"r-677983";"Z_3";"2";"sum";"TRUE";"2";"10";"0.2";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"f-182061";"Z_5";"2";"product";"FALSE";"2";"0.5";"10";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"l-785518";"Z_6";"10";"product";"TRUE";"10";"10";"1";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"p-255661";"Z_3";"100";"sum";"FALSE";"100";"10";"5";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"v-157371";"Z_6";"20";"sum";"TRUE";"20";"10";"5";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"q-232923";"Z_3";"2";"product";"TRUE";"2";"0.5";"10";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"l-411834";"Z_4";"100";"sum";"TRUE";"100";"0.1";"5";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"k-174310";"Z_1";"2";"product";"TRUE";"2";"2";"0.2";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"z-845246";"Z_5";"10";"product";"FALSE";"10";"0.2";"5";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"p-960920";"Z_1";"20";"product";"TRUE";"20";"1";"1";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"j-695075";"Z_2";"3";"product";"TRUE";"3";"10";"0.1";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"q-353910";"Z_6";"3";"product";"TRUE";"3";"2";"0";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"o-198610";"Z_3";"3";"sum";"TRUE";"3";"0.5";"0.5";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"j-468691";"Z_2";"50";"sum";"TRUE";"50";"0.5";"1";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"t-304436";"Z_3";"2";"product";"TRUE";"2";"5";"10";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"c-867420";"Z_2";"20";"sum";"FALSE";"20";"0.2";"1";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"b-604498";"Z_1";"2";"sum";"FALSE";"2";"10";"1";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"v-698682";"Z_3";"10";"sum";"FALSE";"10";"0.2";"0.2";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"l-401655";"Z_4";"3";"product";"TRUE";"3";"10";"1";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"q-173949";"Z_6";"50";"sum";"FALSE";"50";"5";"0";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"y-794754";"Z_1";"50";"product";"FALSE";"50";"10";"0.1";"cubic";"200";"konnte Funktion \leveneTest\ nicht finden"
"e-835647";"Z_4";"20";"sum";"TRUE";"20";"0";"0.5";"square";"200";"konnte Funktion \leveneTest\ nicht finden"
"e-439637";"Z_1";"3";"product";"TRUE";"3";"1";"0.5";"cubic";"200";"nicht passende Argumente"
"l-392018";"Z_2";"20";"product";"FALSE";"20";"5";"0.5";"softplus";"200";"konnte Funktion \leveneTest\ nicht finden"
"g-380199";"Z_3";"2";"product";"FALSE";"2";"0.1";"2";"log";"200";"konnte Funktion \leveneTest\ nicht finden"
"k-314013";"Z_3";"5";"product";"TRUE";"5";"10";"5";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"q-459668";"Z_2";"5";"product";"TRUE";"5";"0";"2";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"v-955443";"Z_1";"3";"product";"FALSE";"3";"0.1";"0.5";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"j-975156";"Z_3";"100";"sum";"TRUE";"100";"10";"5";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"c-869612";"Z_3";"3";"sum";"TRUE";"3";"0";"0.2";"cubic";"200";"nicht passende Argumente"
"i-123999";"Z_1";"2";"product";"TRUE";"2";"0.5";"0.1";"cubic";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"f-670904";"Z_6";"2";"sum";"TRUE";"2";"10";"10";"softplus";"200";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"b-580641";"Z_5";"3";"sum";"FALSE";"3";"0.1";"0.2";"cubic";"500";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"p-116936";"Z_2";"3";"product";"TRUE";"3";"1";"5";"cubic";"500";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"q-639648";"Z_2";"5";"product";"FALSE";"5";"10";"0.2";"cubic";"500";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"n-171816";"Z_6";"50";"sum";"TRUE";"50";"0";"10";"cubic";"500";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"b-621451";"Z_5";"2";"product";"FALSE";"2";"2";"1";"cubic";"2000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"p-845624";"Z_3";"2";"product";"TRUE";"2";"0.1";"2";"cubic";"2000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"w-675755";"Z_6";"2";"product";"TRUE";"2";"5";"2";"softplus";"2000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"t-151876";"Z_2";"10";"product";"TRUE";"10";"0.1";"10";"cubic";"2000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"q-489044";"Z_3";"2";"sum";"TRUE";"2";"5";"5";"cubic";"2000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"q-769692";"Z_5";"2";"product";"TRUE";"2";"2";"5";"cubic";"2000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"g-137225";"Z_6";"5";"product";"TRUE";"5";"0.5";"1";"square";"5000";"kann Verbindung nicht öffnen"
"m-590574";"Z_4";"3";"product";"TRUE";"3";"0";"0.2";"softplus";"5000";"kann Verbindung nicht öffnen"
"k-963643";"Z_2";"2";"product";"FALSE";"2";"0.1";"0.1";"log";"5000";"kann Verbindung nicht öffnen"
"q-877863";"Z_3";"100";"product";"FALSE";"100";"0.2";"1";"cubic";"5000";"kann Verbindung nicht öffnen"
"i-565710";"Z_3";"10";"product";"FALSE";"10";"1";"0.2";"log";"5000";"kann Verbindung nicht öffnen"
"q-841257";"Z_5";"100";"product";"FALSE";"100";"1";"2";"square";"5000";"kann Verbindung nicht öffnen"
"n-683419";"Z_5";"2";"product";"TRUE";"2";"10";"0.1";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"a-428367";"Z_5";"20";"product";"FALSE";"20";"0.1";"0.1";"log";"5000";"kann Verbindung nicht öffnen"
"i-302791";"Z_2";"20";"product";"TRUE";"20";"1";"10";"softplus";"5000";"kann Verbindung nicht öffnen"
"c-195188";"Z_6";"2";"sum";"FALSE";"2";"0.2";"0.5";"log";"5000";"kann Verbindung nicht öffnen"
"q-900171";"Z_6";"5";"product";"TRUE";"5";"0.1";"0.5";"log";"5000";"kann Verbindung nicht öffnen"
"d-716195";"Z_2";"20";"product";"FALSE";"20";"0.5";"5";"cubic";"5000";"kann Verbindung nicht öffnen"
"w-156994";"Z_2";"50";"sum";"TRUE";"50";"1";"10";"square";"5000";"kann Verbindung nicht öffnen"
"m-548456";"Z_4";"100";"sum";"TRUE";"100";"2";"0.1";"softplus";"5000";"kann Verbindung nicht öffnen"
"k-988825";"Z_2";"2";"sum";"FALSE";"2";"0";"0.1";"softplus";"5000";"kann Verbindung nicht öffnen"
"m-138512";"Z_3";"50";"product";"TRUE";"50";"5";"0.2";"square";"5000";"kann Verbindung nicht öffnen"
"w-150753";"Z_5";"50";"product";"FALSE";"50";"0";"0.2";"softplus";"5000";"kann Verbindung nicht öffnen"
"r-339426";"Z_1";"3";"product";"TRUE";"3";"0.1";"1";"log";"5000";"kann Verbindung nicht öffnen"
"d-125566";"Z_1";"20";"product";"TRUE";"20";"0.1";"5";"log";"5000";"kann Verbindung nicht öffnen"
"v-859368";"Z_3";"10";"product";"TRUE";"10";"2";"1";"cubic";"5000";"kann Verbindung nicht öffnen"
"t-813232";"Z_4";"3";"product";"FALSE";"3";"10";"2";"square";"5000";"kann Verbindung nicht öffnen"
"g-355661";"Z_5";"20";"product";"FALSE";"20";"0.1";"0.2";"square";"5000";"kann Verbindung nicht öffnen"
"k-680632";"Z_2";"50";"product";"FALSE";"50";"0";"0.1";"cubic";"5000";"kann Verbindung nicht öffnen"
"j-265310";"Z_4";"2";"sum";"TRUE";"2";"0.5";"2";"log";"5000";"kann Verbindung nicht öffnen"
"t-496614";"Z_2";"20";"product";"FALSE";"20";"1";"5";"square";"5000";"kann Verbindung nicht öffnen"
"v-323336";"Z_6";"5";"sum";"FALSE";"5";"0.2";"1";"square";"5000";"kann Verbindung nicht öffnen"
"s-833327";"Z_5";"100";"sum";"FALSE";"100";"5";"1";"log";"5000";"kann Verbindung nicht öffnen"
"l-508670";"Z_1";"10";"sum";"TRUE";"10";"0";"0.1";"softplus";"5000";"kann Verbindung nicht öffnen"
"s-832092";"Z_4";"20";"product";"FALSE";"20";"10";"1";"cubic";"5000";"kann Verbindung nicht öffnen"
"u-565073";"Z_3";"3";"sum";"TRUE";"3";"1";"0";"cubic";"5000";"kann Verbindung nicht öffnen"
"r-390879";"Z_3";"3";"product";"TRUE";"3";"10";"0.1";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"g-594442";"Z_4";"50";"product";"TRUE";"50";"0.1";"5";"log";"5000";"kann Verbindung nicht öffnen"
"z-435083";"Z_3";"100";"product";"FALSE";"100";"10";"2";"square";"5000";"kann Verbindung nicht öffnen"
"l-919273";"Z_6";"20";"product";"TRUE";"20";"0";"10";"softplus";"5000";"kann Verbindung nicht öffnen"
"w-272174";"Z_3";"50";"product";"FALSE";"50";"1";"5";"softplus";"5000";"kann Verbindung nicht öffnen"
"q-322113";"Z_6";"100";"sum";"TRUE";"100";"0.1";"0";"log";"5000";"kann Verbindung nicht öffnen"
"o-794317";"Z_3";"20";"sum";"TRUE";"20";"1";"1";"log";"5000";"kann Verbindung nicht öffnen"
"w-375496";"Z_3";"3";"sum";"TRUE";"3";"10";"5";"cubic";"5000";"nicht passende Argumente"
"i-992901";"Z_4";"2";"sum";"TRUE";"2";"0";"10";"square";"5000";"kann Verbindung nicht öffnen"
"v-329454";"Z_3";"2";"product";"FALSE";"2";"0.5";"0";"square";"5000";"kann Verbindung nicht öffnen"
"e-676269";"Z_4";"3";"product";"TRUE";"3";"0.1";"0";"softplus";"5000";"kann Verbindung nicht öffnen"
"l-877993";"Z_5";"50";"sum";"TRUE";"50";"1";"2";"log";"5000";"kann Verbindung nicht öffnen"
"f-736869";"Z_1";"5";"product";"TRUE";"5";"10";"5";"cubic";"5000";"kann Verbindung nicht öffnen"
"c-454585";"Z_3";"2";"product";"TRUE";"2";"0";"1";"softplus";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"h-364384";"Z_4";"50";"sum";"TRUE";"50";"10";"1";"softplus";"5000";"kann Verbindung nicht öffnen"
"y-983589";"Z_2";"50";"product";"TRUE";"50";"0.5";"5";"cubic";"5000";"kann Verbindung nicht öffnen"
"p-638528";"Z_5";"100";"sum";"TRUE";"100";"5";"1";"cubic";"5000";"kann Verbindung nicht öffnen"
"k-302544";"Z_4";"2";"product";"TRUE";"2";"5";"0.1";"log";"5000";"kann Verbindung nicht öffnen"
"h-412810";"Z_1";"20";"product";"TRUE";"20";"0.2";"1";"log";"5000";"kann Verbindung nicht öffnen"
"r-587908";"Z_6";"3";"sum";"FALSE";"3";"0.2";"10";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"o-146541";"Z_3";"5";"product";"TRUE";"5";"1";"2";"square";"5000";"kann Verbindung nicht öffnen"
"s-211732";"Z_1";"20";"sum";"TRUE";"20";"0";"0.2";"cubic";"5000";"kann Verbindung nicht öffnen"
"q-170684";"Z_2";"20";"product";"FALSE";"20";"2";"0";"softplus";"5000";"kann Verbindung nicht öffnen"
"b-628868";"Z_5";"100";"product";"TRUE";"100";"10";"0.2";"softplus";"5000";"kann Verbindung nicht öffnen"
"b-152973";"Z_2";"5";"product";"TRUE";"5";"2";"1";"log";"5000";"kann Verbindung nicht öffnen"
"l-308112";"Z_2";"3";"sum";"FALSE";"3";"0.5";"0.2";"cubic";"5000";"kann Verbindung nicht öffnen"
"k-521382";"Z_3";"2";"product";"FALSE";"2";"0.1";"0";"square";"5000";"kann Verbindung nicht öffnen"
"w-263134";"Z_4";"3";"product";"TRUE";"3";"2";"0.5";"log";"5000";"kann Verbindung nicht öffnen"
"j-983596";"Z_4";"2";"product";"FALSE";"2";"5";"1";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"k-733685";"Z_6";"2";"product";"FALSE";"2";"0.5";"5";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"b-593585";"Z_2";"5";"product";"TRUE";"5";"0.2";"0.5";"cubic";"5000";"kann Verbindung nicht öffnen"
"j-907903";"Z_5";"100";"product";"FALSE";"100";"0";"0";"softplus";"5000";"kann Verbindung nicht öffnen"
"l-386802";"Z_4";"100";"product";"FALSE";"100";"0.2";"2";"softplus";"5000";"kann Verbindung nicht öffnen"
"i-991701";"Z_1";"20";"product";"TRUE";"20";"0";"0";"log";"5000";"kann Verbindung nicht öffnen"
"p-505222";"Z_4";"5";"sum";"FALSE";"5";"5";"5";"softplus";"5000";"kann Verbindung nicht öffnen"
"y-971192";"Z_2";"3";"sum";"TRUE";"3";"0.5";"5";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"a-871601";"Z_3";"2";"product";"TRUE";"2";"0";"2";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"p-653150";"Z_1";"3";"sum";"TRUE";"3";"0.1";"0.1";"square";"5000";"kann Verbindung nicht öffnen"
"u-435343";"Z_4";"50";"sum";"TRUE";"50";"0.1";"0";"log";"5000";"kann Verbindung nicht öffnen"
"a-321099";"Z_2";"2";"sum";"FALSE";"2";"10";"0";"square";"5000";"kann Verbindung nicht öffnen"
"s-138341";"Z_3";"2";"sum";"TRUE";"2";"10";"2";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"j-369017";"Z_1";"3";"sum";"FALSE";"3";"5";"2";"softplus";"5000";"kann Verbindung nicht öffnen"
"u-728171";"Z_4";"3";"product";"FALSE";"3";"5";"10";"softplus";"5000";"kann Verbindung nicht öffnen"
"f-542735";"Z_1";"20";"product";"TRUE";"20";"5";"0";"square";"5000";"kann Verbindung nicht öffnen"
"t-629056";"Z_3";"100";"product";"FALSE";"100";"0.2";"0";"softplus";"5000";"kann Verbindung nicht öffnen"
"f-894186";"Z_2";"50";"sum";"FALSE";"50";"10";"0.5";"cubic";"5000";"kann Verbindung nicht öffnen"
"l-678576";"Z_6";"100";"sum";"TRUE";"100";"2";"0.2";"log";"5000";"kann Verbindung nicht öffnen"
"j-529856";"Z_1";"5";"product";"TRUE";"5";"1";"0.1";"softplus";"5000";"kann Verbindung nicht öffnen"
"g-776691";"Z_4";"3";"product";"FALSE";"3";"0.2";"10";"square";"5000";"kann Verbindung nicht öffnen"
"d-825076";"Z_5";"50";"sum";"TRUE";"50";"0";"0.2";"softplus";"5000";"kann Verbindung nicht öffnen"
"k-668219";"Z_4";"100";"sum";"FALSE";"100";"0.1";"1";"square";"5000";"kann Verbindung nicht öffnen"
"w-401333";"Z_3";"5";"product";"TRUE";"5";"5";"1";"square";"5000";"kann Verbindung nicht öffnen"
"s-171291";"Z_5";"3";"sum";"TRUE";"3";"0.5";"0.1";"softplus";"5000";"kann Verbindung nicht öffnen"
"g-583796";"Z_1";"10";"sum";"TRUE";"10";"0.2";"0.2";"square";"5000";"kann Verbindung nicht öffnen"
"u-897322";"Z_1";"20";"product";"TRUE";"20";"2";"0.2";"softplus";"5000";"kann Verbindung nicht öffnen"
"g-579020";"Z_1";"20";"sum";"TRUE";"20";"1";"0";"log";"5000";"kann Verbindung nicht öffnen"
"k-651666";"Z_2";"3";"product";"FALSE";"3";"0.1";"0";"cubic";"5000";"kann Verbindung nicht öffnen"
"i-659083";"Z_4";"3";"sum";"FALSE";"3";"0.1";"0.2";"square";"5000";"kann Verbindung nicht öffnen"
"w-394432";"Z_1";"10";"sum";"FALSE";"10";"0.5";"0.5";"softplus";"5000";"kann Verbindung nicht öffnen"
"h-447137";"Z_6";"5";"sum";"FALSE";"5";"0.2";"2";"log";"5000";"kann Verbindung nicht öffnen"
"q-582656";"Z_2";"10";"sum";"FALSE";"10";"0";"0.1";"cubic";"5000";"kann Verbindung nicht öffnen"
"s-434873";"Z_3";"100";"sum";"TRUE";"100";"5";"5";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"c-494797";"Z_6";"3";"product";"TRUE";"3";"0.1";"0.1";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"x-490328";"Z_1";"2";"sum";"FALSE";"2";"0.5";"5";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"f-372099";"Z_2";"5";"sum";"TRUE";"5";"0.1";"5";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"n-279548";"Z_3";"3";"product";"TRUE";"3";"0";"0.2";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"t-602481";"Z_6";"2";"sum";"TRUE";"2";"1";"2";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
"c-186443";"Z_5";"2";"sum";"TRUE";"2";"1";"0.5";"cubic";"5000";"Fehlender Wert, wo TRUE/FALSE nötig ist"
